code,nom,nombre_dairas,nombre_communes,superficie,nombre_habitants,Latitude,Longitude
1,Adrar,11,28,439700,439693,28.4179,-0.1887
2,Chlef,13,35,4795,1013718,36.4166,1.1962
3,Laghouat,10,24,25057,477328,34.1128,2.1023
4,Oum el Bouaghi,12,29,6783,644364,35.7309,7.3693
5,Batna,22,61,12192,1128030,36.8269,4.7431
6,Béjaïa,19,52,3268,915835,36.8269,4.7431
7,Biskra,12,33,20986,730262,34.6553,5.5569
8,Béchar,12,21,162200,274866,31.019,-2.7239
9,Blida,10,25,1575,1009892,36.535,3.0699
10,Bouira,12,45,4439,695583,36.3161,4.0545
11,Tamanrasset,7,10,556185,198691,22.8894,4.8475
12,Tébessa,12,28,14227,657227,35.5588,7.924
13,Tlemcen,20,53,9061,949135,34.7351,-1.6183
14,Tiaret,14,42,20673,846823,35.1215,0.8538
15,Tizi Ouzou,21,67,2956,1127608,36.8617,4.365
16,Alger,13,57,1190,2988145,36.7224,3.2264
17,Djelfa,12,36,66415,1223223,34.8466,3.186
18,Jijel,11,28,2577,636948,36.7091,6.1294
19,Sétif,20,60,6504,1496150,36.1696,5.4047
20,Saïda,6,16,6764,330641,34.9181,0.1339
21,Skikda,13,38,4026,904195,36.9897,6.4605
22,Sidi Bel Abbès,15,52,9096,604744,35.089,-0.699
23,Annaba,6,12,1439,640050,36.9089,7.67
24,Guelma,10,34,4101,482430,36.4053,7.2694
25,Constantine,6,12,2187,943112,36.1545,0.4957
26,Médéa,19,64,8866,830943,35.8604,2.7041
27,Mostaganem,10,32,2175,746947,36.1545,0.4957
28,M'Sila,15,47,18718,991846,35.8855,3.7724
29,Mascara,16,47,5941,784073,35.4601,0.2576
30,Ouargla,10,21,211980,558558,31.9377,5.3995
31,Oran,9,26,2121,1584607,35.6372,-0.6683
32,El Bayadh,8,22,78870,262187,33.0132,0.1084
33,Illizi,3,6,285000,54490,28.2503,7.901
34,Bordj Bou Arreridj,10,34,4115,716423,36.1972,4.7882
35,Boumerdès,9,32,1356,802083,36.7719,3.4055
36,El Tarf,7,24,3339,411783,36.7981,8.3309
37,Djanet,1,2,159000,159898,24.555,9.485
38,Tissemsilt,8,22,3152,296366,35.8658,2.2703
39,El Oued,12,30,54573,673934,33.4,6.9667
40,Khenchela,8,21,9811,386683,35.3789,7.0454
41,Souk Ahras,10,26,4541,440299,36.2518,8.1233
42,Tipaza,10,28,1605,617661,36.5138,2.0623
43,Mila,13,32,3407,768419,36.3402,6.1724
44,Aïn Defla,14,36,4891,771890,36.0774,2.0966
45,Naâma,7,12,29950,209470,33.3365,-0.4398
46,Aïn Témouchent,8,28,2379,384565,35.406,-0.8812
47,Ghardaia,9,13,86105,375988,32.5294,4.0664
48,Relizane,13,38,4870,733060,35.707,0.7233
49,Touggourt,5,13,216,39409,33.1,6.0666
51,Béni Abbès,1,2,13170,12683,30.08,-2.1
52,El Menia,2,3,62215,57276, 30.5889, 2.87979
53,Timimoune,4,10,65203,122019,29.25, 0.25
54,Bordj Badji Mokhtar,1,2,16437,120026,21.325, 0.946
55,In Salah,1,2,43938,32518,27.25,2.52
56,In Guezzam,2,2,46813,7045, 19.8494,5.78796
57,Ouled Djellal,2,6,63237,326.6,34.4289, 5.0642
58,El M'Ghair,2,8,1532,49793,33.9506, 5.9242
59,Tindouf,1,2,159000,45966,27.6667,-8.15
